year;winner;gender;country;time;marathon;;
2018;Dickson Chumba;Male;Kenya;04/05/2018 02:05;Tokyo;;
2018;Birhane Dibaba;Female;Ethiopia;04/05/2018 02:19;Tokyo;;
2017;Wilson Kipsang;Male;Kenya;04/05/2018 02:03;Tokyo;;
2017;Sarah Chepchirchir;Female;Kenya;04/05/2018 02:19;Tokyo;;
2016;Feyisa Lilesa;Male;Ethiopia;04/05/2018 02:06;Tokyo;;
2016;Helah Kiprop;Female;Kenya;04/05/2018 02:21;Tokyo;;
2015;Endeshaw Negesse;Male;Ethiopia;04/05/2018 02:06;Tokyo;;
2015;Birhane Dibaba;Female;Ethiopia;04/05/2018 02:23;Tokyo;;
2014;Dickson Chumba;Male;Kenya;04/05/2018 02:05;Tokyo;;
2014;Tirfi Tsegaye;Female;Ethiopia;04/05/2018 02:22;Tokyo;;
2013;Dennis Kimetto;Male;Kenya;04/05/2018 02:06;Tokyo;;
2013;Aberu Kebede;Female;Ethiopia;04/05/2018 02:25;Tokyo;;
2012;Michael Kipyego;Male;Kenya;04/05/2018 02:07;Tokyo;;
2012;Atsede Habtamu;Female;Ethiopia;04/05/2018 02:25;Tokyo;;
2011;Hailu Mekonnen;Male;Ethiopia;04/05/2018 02:07;Tokyo;;
2011;Noriko Higuchi;Female;Japan;04/05/2018 02:28;Tokyo;;
2010;Masakazu Fujiwara;Male;Japan;04/05/2018 02:12;Tokyo;;
2010;Alevtina Biktimirova;Female;Russia;04/05/2018 02:34;Tokyo;;
2009;Salim Kipsang;Male;Kenya;04/05/2018 02:10;Tokyo;;
2009;Mizuho Nasukawa;Female;Japan;04/05/2018 02:25;Tokyo;;
2008;Viktor Röthlin;Male;Switzerland;04/05/2018 02:07;Tokyo;;
2008;Claudia Dreher;Female;Germany;04/05/2018 02:35;Tokyo;;
2007;Daniel Njenga;Male;Kenya;04/05/2018 02:09;Tokyo;;
2007;Hitomi Niiya;Female;Japan;04/05/2018 02:31;Tokyo;;
2017;Eliud Kipchoge;Male;Kenya;04/05/2018 02:03;Berlin;;
2017;Gladys Cherono;Female;Kenya;04/05/2018 02:20;Berlin;;
2016;Kenenisa Bekele;Male;Ethiopia;04/05/2018 02:03;Berlin;;
2016;Aberu Kebede;Female;Ethiopia;04/05/2018 02:20;Berlin;;
2015;Eliud Kipchoge;Male;Kenya;04/05/2018 02:04;Berlin;;
2015;Gladys Cherono;Female;Kenya;04/05/2018 02:19;Berlin;;
2014;Dennis Kimetto;Male;Kenya;04/05/2018 02:02;Berlin;;
2014;Tirfi Tsegaye;Female;Ethiopia;04/05/2018 02:20;Berlin;;
2013;Wilson Kipsang;Male;Kenya;04/05/2018 02:03;Berlin;;
2013;Florence Kiplagat;Female;Kenya;04/05/2018 02:21;Berlin;;
2012;Geoffrey Mutai;Male;Kenya;04/05/2018 02:04;Berlin;;
2012;Aberu Kebede;Female;Ethiopia;04/05/2018 02:20;Berlin;;
2011;Patrick Musyoki;Male;Kenya;04/05/2018 02:03;Berlin;;
2011;Florence Kiplagat;Female;Kenya;04/05/2018 02:19;Berlin;;
2010;Patrick Musyoki;Male;Kenya;04/05/2018 02:05;Berlin;;
2010;Aberu Kebede;Female;Ethiopia;04/05/2018 02:23;Berlin;;
2009;Haile Gebrselassie;Male;Ethiopia;04/05/2018 02:06;Berlin;;
2009;Atsede Habtamu;Female;Ethiopia;04/05/2018 02:24;Berlin;;
2008;Haile Gebrselassie;Male;Ethiopia;04/05/2018 02:03;Berlin;;
2008;Irina Mikitenko;Female;Germany;04/05/2018 02:19;Berlin;;
2007;Haile Gebrselassie;Male;Ethiopia;04/05/2018 02:04;Berlin;;
2007;Gete Wami;Female;Ethiopia;04/05/2018 02:23;Berlin;;
2006;Haile Gebrselassie;Male;Ethiopia;04/05/2018 02:05;Berlin;;
2006;Gete Wami;Female;Ethiopia;04/05/2018 02:21;Berlin;;
2005;Philip Manyim;Male;Kenya;04/05/2018 02:07;Berlin;;
2005;Noguchi;Female;Japan;04/05/2018 02:19;Berlin;;
2004;Felix Limo;Male;Kenya;04/05/2018 02:06;Berlin;;
2004;Yoko Shibui;Female;Japan;04/05/2018 02:19;Berlin;;
2003;Paul Tergat;Male;Kenya;04/05/2018 02:04;Berlin;;
2003;Yasuko Hashimoto;Female;Japan;04/05/2018 02:26;Berlin;;
2002;Raymond Kipkoech;Male;Kenya;04/05/2018 02:06;Berlin;;
2002;Naoko Takahashi;Female;Japan;04/05/2018 02:21;Berlin;;
2001;Joseph Ngolepus;Male;Kenya;04/05/2018 02:08;Berlin;;
2001;Naoko Takahashi;Female;Japan;04/05/2018 02:19;Berlin;;
2000;Simon Biwott;Male;Kenya;04/05/2018 02:07;Berlin;;
2000;Kazumi Matsuo;Female;Japan;04/05/2018 02:26;Berlin;;
1999;Josephat Kiprono;Male;Kenya;04/05/2018 02:06;Berlin;;
1999;Tegla Loroupe;Female;Kenya;04/05/2018 02:20;Berlin;;
1998;Ronaldo da Costa;Male;Brazil;04/05/2018 02:06;Berlin;;
1998;Marleen Renders;Female;Belgium;04/05/2018 02:25;Berlin;;
1997;Elijah Lagat;Male;Kenya;04/05/2018 02:07;Berlin;;
1997;Catherina McKiernan;Female;Ireland;04/05/2018 02:23;Berlin;;
1996;Abel Antón;Male;Spain;04/05/2018 02:09;Berlin;;
1996;Colleen De Reuck;Female;South Africa;04/05/2018 02:26;Berlin;;
1995;Sammy Lelei;Male;Kenya;04/05/2018 02:07;Berlin;;
1995;Uta Pippig;Female;Germany;04/05/2018 02:25;Berlin;;
1994;António Pinto;Male;Portugal;04/05/2018 02:08;Berlin;;
1994;Katrin Dörre-Heinig;Female;Germany;04/05/2018 02:25;Berlin;;
